Date,Team1,Team1Score,Team1Country,Team2,Team2Score,Team2Country,Map,MapShort,Event,Winner,MatchURL
15/09/25,Aurora,13,Turkey,FURIA,11,Brazil,Dust2,d2,FISSURE Playground 2,Aurora,https://www.hltv.org/stats/matches/mapstatsid/207890/aurora-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/09/25,Aurora,13,Turkey,FURIA,5,Brazil,Inferno,inf,FISSURE Playground 2,Aurora,https://www.hltv.org/stats/matches/mapstatsid/207886/aurora-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/09/25,Falcons,13,Europe,FaZe,6,Europe,Dust2,d2,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207869/falcons-vs-faze?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/09/25,FaZe,11,Europe,Falcons,13,Europe,Nuke,nuke,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207859/faze-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/09/25,G2,14,Europe,FURIA,16,Brazil,Overpass,ovp,FISSURE Playground 2,FURIA,https://www.hltv.org/stats/matches/mapstatsid/207784/g2-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/09/25,FURIA,13,Brazil,G2,7,Europe,Inferno,inf,FISSURE Playground 2,FURIA,https://www.hltv.org/stats/matches/mapstatsid/207769/furia-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/09/25,Legacy,16,Brazil,Falcons,19,Europe,Ancient,anc,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207716/legacy-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/09/25,Falcons,13,Europe,Legacy,4,Brazil,Inferno,inf,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207699/falcons-vs-legacy?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
13/09/25,Liquid,7,Other,FURIA,13,Brazil,Train,trn,FISSURE Playground 2,FURIA,https://www.hltv.org/stats/matches/mapstatsid/207636/liquid-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
13/09/25,Liquid,11,Other,FURIA,13,Brazil,Inferno,inf,FISSURE Playground 2,FURIA,https://www.hltv.org/stats/matches/mapstatsid/207623/liquid-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
13/09/25,Liquid,13,Other,FURIA,9,Brazil,Dust2,d2,FISSURE Playground 2,Liquid,https://www.hltv.org/stats/matches/mapstatsid/207609/liquid-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
12/09/25,Virtus.pro,2,Russia,Falcons,13,Europe,Ancient,anc,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207439/virtuspro-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
12/09/25,Falcons,13,Europe,Virtus.pro,1,Russia,Mirage,mrg,FISSURE Playground 2,Falcons,https://www.hltv.org/stats/matches/mapstatsid/207433/falcons-vs-virtuspro?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
07/09/25,G2,13,Europe,Vitality,6,Europe,Train,trn,BLAST Open London 2025 Finals,G2,https://www.hltv.org/stats/matches/mapstatsid/206843/g2-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
07/09/25,Vitality,12,Europe,G2,16,Europe,Inferno,inf,BLAST Open London 2025 Finals,G2,https://www.hltv.org/stats/matches/mapstatsid/206832/vitality-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
07/09/25,G2,6,Europe,Vitality,13,Europe,Overpass,ovp,BLAST Open London 2025 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/206825/g2-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
07/09/25,Vitality,13,Europe,G2,6,Europe,Mirage,mrg,BLAST Open London 2025 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/206820/vitality-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
07/09/25,G2,13,Europe,Vitality,3,Europe,Dust2,d2,BLAST Open London 2025 Finals,G2,https://www.hltv.org/stats/matches/mapstatsid/206813/g2-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
06/09/25,G2,13,Europe,FURIA,5,Brazil,Mirage,mrg,BLAST Open London 2025 Finals,G2,https://www.hltv.org/stats/matches/mapstatsid/206730/g2-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
06/09/25,FURIA,5,Brazil,G2,13,Europe,Inferno,inf,BLAST Open London 2025 Finals,G2,https://www.hltv.org/stats/matches/mapstatsid/206712/furia-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
06/09/25,MOUZ,8,Europe,Vitality,13,Europe,Inferno,inf,BLAST Open London 2025 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/206695/mouz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
06/09/25,Vitality,13,Europe,MOUZ,7,Europe,Mirage,mrg,BLAST Open London 2025 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/206690/vitality-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
05/09/25,MOUZ,13,Europe,M80,3,North America,Inferno,inf,BLAST Open London 2025 Finals,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/206640/mouz-vs-m80?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
05/09/25,M80,13,North America,MOUZ,9,Europe,Mirage,mrg,BLAST Open London 2025 Finals,M80,https://www.hltv.org/stats/matches/mapstatsid/206635/m80-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
05/09/25,MOUZ,13,Europe,M80,10,North America,Ancient,anc,BLAST Open London 2025 Finals,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/206628/mouz-vs-m80?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
24/08/25,Vitality,3,Europe,Falcons,13,Europe,Nuke,nuke,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205853/vitality-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
24/08/25,Vitality,3,Europe,Falcons,13,Europe,Train,trn,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205850/vitality-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
24/08/25,Vitality,13,Europe,Falcons,9,Europe,Inferno,inf,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205847/vitality-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
23/08/25,Aurora,13,Turkey,Falcons,11,Europe,Train,trn,Esports World Cup 2025,Aurora,https://www.hltv.org/stats/matches/mapstatsid/205836/aurora-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
23/08/25,Falcons,6,Europe,Aurora,13,Turkey,Inferno,inf,Esports World Cup 2025,Aurora,https://www.hltv.org/stats/matches/mapstatsid/205834/falcons-vs-aurora?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
23/08/25,The MongolZ,13,Mongolia,Vitality,7,Europe,Nuke,nuke,Esports World Cup 2025,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/205827/the-mongolz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
23/08/25,The MongolZ,9,Mongolia,Vitality,13,Europe,Dust2,d2,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205825/the-mongolz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
23/08/25,Vitality,8,Europe,The MongolZ,13,Mongolia,Mirage,mrg,Esports World Cup 2025,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/205820/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/08/25,Falcons,13,Europe,MOUZ,10,Europe,Nuke,nuke,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205789/falcons-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/08/25,Falcons,8,Europe,MOUZ,13,Europe,Inferno,inf,Esports World Cup 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/205785/falcons-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/08/25,MOUZ,9,Europe,Falcons,13,Europe,Ancient,anc,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205782/mouz-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,TYLOO,8,China,Vitality,13,Europe,Nuke,nuke,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205733/tyloo-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,Vitality,13,Europe,TYLOO,4,China,Inferno,inf,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205730/vitality-vs-tyloo?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,MOUZ,13,Europe,Virtus.pro,10,Russia,Overpass,ovp,Esports World Cup 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/205706/mouz-vs-virtuspro?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,Virtus.pro,4,Russia,MOUZ,13,Europe,Mirage,mrg,Esports World Cup 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/205701/virtuspro-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,MOUZ,6,Europe,Virtus.pro,13,Russia,Inferno,inf,Esports World Cup 2025,Virtus.pro,https://www.hltv.org/stats/matches/mapstatsid/205694/mouz-vs-virtuspro?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,G2,7,Europe,Falcons,13,Europe,Train,trn,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205702/g2-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/08/25,G2,9,Europe,Falcons,13,Europe,Ancient,anc,Esports World Cup 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/205695/g2-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/08/25,Spirit,14,Russia,HEROIC,16,Sweden,Mirage,mrg,Esports World Cup 2025,HEROIC,https://www.hltv.org/stats/matches/mapstatsid/205659/spirit-vs-heroic?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/08/25,HEROIC,13,Sweden,Spirit,3,Russia,Nuke,nuke,Esports World Cup 2025,HEROIC,https://www.hltv.org/stats/matches/mapstatsid/205653/heroic-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/08/25,Spirit,13,Russia,HEROIC,5,Sweden,Ancient,anc,Esports World Cup 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205650/spirit-vs-heroic?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/08/25,Liquid,16,Other,Vitality,19,Europe,Dust2,d2,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205642/liquid-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/08/25,Vitality,13,Europe,Liquid,11,Other,Mirage,mrg,Esports World Cup 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205634/vitality-vs-liquid?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
17/08/25,The MongolZ,5,Mongolia,Spirit,13,Russia,Ancient,anc,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205430/the-mongolz-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
17/08/25,Spirit,16,Russia,The MongolZ,13,Mongolia,Mirage,mrg,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205417/spirit-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
17/08/25,The MongolZ,11,Mongolia,Spirit,13,Russia,Nuke,nuke,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205406/the-mongolz-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
16/08/25,The MongolZ,13,Mongolia,Vitality,11,Europe,Inferno,inf,BLAST Bounty 2025 Season 2 Finals,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/205330/the-mongolz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
16/08/25,Vitality,7,Europe,The MongolZ,13,Mongolia,Mirage,mrg,BLAST Bounty 2025 Season 2 Finals,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/205311/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
16/08/25,Spirit,13,Russia,MOUZ,5,Europe,Mirage,mrg,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205300/spirit-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
16/08/25,MOUZ,14,Europe,Spirit,16,Russia,Ancient,anc,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205288/mouz-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/08/25,Spirit,13,Russia,Virtus.pro,3,Russia,Overpass,ovp,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205210/spirit-vs-virtuspro?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/08/25,Virtus.pro,10,Russia,Spirit,13,Russia,Ancient,anc,BLAST Bounty 2025 Season 2 Finals,Spirit,https://www.hltv.org/stats/matches/mapstatsid/205194/virtuspro-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/08/25,Liquid,16,Other,Vitality,19,Europe,Nuke,nuke,BLAST Bounty 2025 Season 2 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205177/liquid-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
15/08/25,Vitality,16,Europe,Liquid,13,Other,Train,trn,BLAST Bounty 2025 Season 2 Finals,Vitality,https://www.hltv.org/stats/matches/mapstatsid/205167/vitality-vs-liquid?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/08/25,Astralis,4,Denmark,MOUZ,13,Europe,Mirage,mrg,BLAST Bounty 2025 Season 2 Finals,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/205057/astralis-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
14/08/25,MOUZ,13,Europe,Astralis,8,Denmark,Nuke,nuke,BLAST Bounty 2025 Season 2 Finals,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/205044/mouz-vs-astralis?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
03/08/25,Spirit,13,Russia,MOUZ,6,Europe,Nuke,nuke,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/204216/spirit-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
03/08/25,MOUZ,11,Europe,Spirit,13,Russia,Ancient,anc,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/204211/mouz-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
03/08/25,Spirit,13,Russia,MOUZ,7,Europe,Mirage,mrg,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/204203/spirit-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
02/08/25,MOUZ,13,Europe,Vitality,8,Europe,Train,trn,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/204170/mouz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
02/08/25,Vitality,9,Europe,MOUZ,13,Europe,Mirage,mrg,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/204166/vitality-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
02/08/25,Natus Vincere,6,Europe,Spirit,13,Russia,Ancient,anc,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/204158/natus-vincere-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
02/08/25,Natus Vincere,13,Europe,Spirit,9,Russia,Nuke,nuke,IEM Cologne 2025,Natus Vincere,https://www.hltv.org/stats/matches/mapstatsid/204152/natus-vincere-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
02/08/25,Spirit,13,Russia,Natus Vincere,11,Europe,Mirage,mrg,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/204147/spirit-vs-natus-vincere?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
01/08/25,MOUZ,13,Europe,FURIA,11,Brazil,Inferno,inf,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/204114/mouz-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
01/08/25,FURIA,13,Brazil,MOUZ,10,Europe,Mirage,mrg,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/204108/furia-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
01/08/25,MOUZ,19,Europe,FURIA,16,Brazil,Train,trn,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/204098/mouz-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,G2,14,Europe,FURIA,16,Brazil,Inferno,inf,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203958/g2-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,G2,6,Europe,FURIA,13,Brazil,Dust2,d2,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203953/g2-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,The MongolZ,8,Mongolia,Vitality,13,Europe,Inferno,inf,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203938/the-mongolz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,Vitality,13,Europe,The MongolZ,5,Mongolia,Mirage,mrg,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203937/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,Spirit,13,Russia,MOUZ,6,Europe,Overpass,ovp,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203949/spirit-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,Spirit,19,Russia,MOUZ,22,Europe,Mirage,mrg,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/203939/spirit-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
29/07/25,MOUZ,13,Europe,Spirit,16,Russia,Ancient,anc,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203935/mouz-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,Falcons,7,Europe,FURIA,13,Brazil,Dust2,d2,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203879/falcons-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,FURIA,13,Brazil,Falcons,11,Europe,Mirage,mrg,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203877/furia-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,Falcons,13,Europe,FURIA,7,Brazil,Train,trn,IEM Cologne 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/203873/falcons-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,Aurora,10,Turkey,Spirit,13,Russia,Nuke,nuke,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203871/aurora-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,Aurora,8,Turkey,Spirit,13,Russia,Dust2,d2,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203868/aurora-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,Natus Vincere,10,Europe,MOUZ,13,Europe,Nuke,nuke,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/203865/natus-vincere-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
28/07/25,MOUZ,13,Europe,Natus Vincere,10,Europe,Mirage,mrg,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/203862/mouz-vs-natus-vincere?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Astralis,4,Denmark,FURIA,13,Brazil,Dust2,d2,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203824/astralis-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Astralis,3,Denmark,FURIA,13,Brazil,Inferno,inf,IEM Cologne 2025,FURIA,https://www.hltv.org/stats/matches/mapstatsid/203821/astralis-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,G2,10,Europe,Vitality,13,Europe,Train,trn,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203820/g2-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Vitality,13,Europe,G2,5,Europe,Inferno,inf,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203810/vitality-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Falcons,9,Europe,The MongolZ,13,Mongolia,Mirage,mrg,IEM Cologne 2025,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/203803/falcons-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,The MongolZ,13,Mongolia,Falcons,9,Europe,Dust2,d2,IEM Cologne 2025,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/203800/the-mongolz-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,HEROIC,8,Sweden,Spirit,13,Russia,Nuke,nuke,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203793/heroic-vs-spirit?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Spirit,16,Russia,HEROIC,14,Sweden,Ancient,anc,IEM Cologne 2025,Spirit,https://www.hltv.org/stats/matches/mapstatsid/203787/spirit-vs-heroic?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,Liquid,9,Other,MOUZ,13,Europe,Train,trn,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/203792/liquid-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
27/07/25,MOUZ,13,Europe,Liquid,7,Other,Inferno,inf,IEM Cologne 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/203786/mouz-vs-liquid?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,Astralis,8,Denmark,Vitality,13,Europe,Overpass,ovp,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203727/astralis-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,Vitality,13,Europe,Astralis,11,Denmark,Nuke,nuke,IEM Cologne 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/203723/vitality-vs-astralis?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,FURIA,8,Brazil,G2,13,Europe,Inferno,inf,IEM Cologne 2025,G2,https://www.hltv.org/stats/matches/mapstatsid/203720/furia-vs-g2?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,G2,13,Europe,FURIA,11,Brazil,Dust2,d2,IEM Cologne 2025,G2,https://www.hltv.org/stats/matches/mapstatsid/203715/g2-vs-furia?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,GamerLegion,6,Europe,Falcons,13,Europe,Mirage,mrg,IEM Cologne 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/203719/gamerlegion-vs-falcons?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
26/07/25,Falcons,13,Europe,GamerLegion,11,Europe,Nuke,nuke,IEM Cologne 2025,Falcons,https://www.hltv.org/stats/matches/mapstatsid/203716/falcons-vs-gamerlegion?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/06/25,Vitality,13,Europe,The MongolZ,6,Mongolia,Inferno,inf,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/202030/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/06/25,Vitality,13,Europe,The MongolZ,4,Mongolia,Dust2,d2,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/202027/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
22/06/25,Vitality,5,Europe,The MongolZ,13,Mongolia,Mirage,mrg,BLAST.tv Austin Major 2025,The MongolZ,https://www.hltv.org/stats/matches/mapstatsid/202022/vitality-vs-the-mongolz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/06/25,Vitality,13,Europe,MOUZ,6,Europe,Train,trn,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/201949/vitality-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/06/25,MOUZ,13,Europe,Vitality,4,Europe,Inferno,inf,BLAST.tv Austin Major 2025,MOUZ,https://www.hltv.org/stats/matches/mapstatsid/201944/mouz-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
21/06/25,Vitality,13,Europe,MOUZ,8,Europe,Mirage,mrg,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/201942/vitality-vs-mouz?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/06/25,Natus Vincere,11,Europe,Vitality,13,Europe,Nuke,nuke,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/201898/natus-vincere-vs-vitality?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/06/25,Vitality,13,Europe,Natus Vincere,9,Europe,Mirage,mrg,BLAST.tv Austin Major 2025,Vitality,https://www.hltv.org/stats/matches/mapstatsid/201895/vitality-vs-natus-vincere?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
20/06/25,FURIA,12,Brazil,paiN,16,Brazil,Inferno,inf,BLAST.tv Austin Major 2025,paiN,https://www.hltv.org/stats/matches/mapstatsid/201857/furia-vs-pain?startDate=2025-01-01&endDate=2025-12-31&matchType=BigEvents
